# 17 jan
103350  42/36 - 2nd LO was off 
103351  35/35
103372  7???/38 mK
103373  88/39 mK
103380  -/39
103381  164/42
103418  74/28 - better data now
103419  134/28
103436  125/-
103437  116/-
103439  105/97
103440  97/95
# 18 jan
103505  93/90
103506  91/88
103509  -/34  bad c2/b4 (or use threshold on driver)
103510  36/35
# 19 jan
103713  -/38
103714  40/40
103779  109/-
103780  124/-
103843  70/68
103844  70/67
103847  119/-
103848  127/-
103851  43/43
103852  46/46
103855  83/-
103856  85/76
# 25 jan
104038  91/87
104039  96/92
104083 105/98 
104084 111/-
104086 117/-
104087 117/-
# 26 jan
104139 94/92
104140 82/83
#
104425 172/31
104426 836/33
# 3-feb
104531 -3000/35
104532 -2500/33
# 5-feb
104659 1788/37
104660 1830/36
# 8-feb
104991 111/-
104992 116/-
# 
105058  96/93
105059  83/82
#
105285  97/95
105286  85/83
#
105403  111/-
105404  108/-
#
105735  135/-
105736  134/-


# combos
103372_103714   37/36
103436_103848   109/75
103350_103852   39/39
103855_103856   86/76
103505_103780   110/89


# I12112   ~ 40 mK
# I05189   ~ 35 mK 
# I10565   ~100 mK
# VIIZw31  ~ 90 mK
# I17208   ~ 85 mK
